5,Dr Anthony Ent Centre,Dr Anthony Ent Centre,"42, Doctor Alagappa Chetty Road, Purasaiwakkam, Chennai, Tamil Nadu 600084","42, Doctor Alagappa Chetty Road, Purasaiwakkam, Chennai, Tamil Nadu 600084",044 2642 2686,https://goo.gl/maps/PYkssWKYXYmGp6Di7
5,Puttur Bone Setting Center,Puttur Bone Setting Center,"No-34, 1, Alagappa Rd, near V.K.Hospital, Purasaiwakkam, Chennai, Tamil Nadu 600084","No-34, 1, Alagappa Rd, near V.K.Hospital, Purasaiwakkam, Chennai, Tamil Nadu 600084",9441775500,https://goo.gl/maps/9zCSXc7QQGr99REM9
5,JSL TOOTH CARE,JSL TOOTH CARE,"no 20, 1, Alagappa Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084","no 20, 1, Alagappa Rd, Purasaiwakkam, Chennai, Tamil Nadu 600084",090035 26729,https://g.page/jsltoothcare?share
5,Bright Dental Care,Bright Dental Care,"46, 58, Ponappa St, Purasaiwakkam, Chennai, Tamil Nadu 600084","46, 58, Ponappa St, Purasaiwakkam, Chennai, Tamil Nadu 600084",9840673450,https://goo.gl/maps/7n1aw48GG52Wpr2r9
5,Cornerstone dental clinic,Cornerstone dental clinic,"13, Vellala St, Purasaiwakkam, Chennai, Tamil Nadu 600084","13, Vellala St, Purasaiwakkam, Chennai, Tamil Nadu 600084",098843 78517,https://goo.gl/maps/WEMdFeYV5UhX3qeH8
5,Primary health care centre,Primary health care centre,"Demallows Road, Kp Park housing road, Pulianthope, Chennai - 600012","Demallows Road, Kp Park housing road, Pulianthope, Chennai - 600012",,https://goo.gl/maps/PNjYRPW38VJ7ZeRi6
5,District Tuberculosis Centre,District Tuberculosis Centre,"Kanakaraya Thottam, Pulianthope, Chennai, Tamil Nadu 600012","Kanakaraya Thottam, Pulianthope, Chennai, Tamil Nadu 600012",044 2667 3037,https://goo.gl/maps/abcDgEavUDX6KpRt7
5,Muthu Hospital,Muthu Hospital,"Pulianthope High Road, Pattalam, Pulianthope, Chennai, Tamil Nadu 600012","Pulianthope High Road, Pattalam, Pulianthope, Chennai, Tamil Nadu 600012",044 4359 9417,https://goo.gl/maps/x1vVvRAG9h7L1WZ37
5,Sri Hari's Hospital,Sri Hari's Hospital,"Perambur Barracks Road, 106, Pulianthope High Road, Bhogipalayam, Choolai, Chennai, Tamil Nadu 600012","Perambur Barracks Road, 106, Pulianthope High Road, Bhogipalayam, Choolai, Chennai, Tamil Nadu 600012",044 2667 3161,https://goo.gl/maps/3Lwi7r24SS7D5CGE6
5,Dr. Mehta's Hospitals,Dr. Mehta's Hospitals,"No.2, 2/1,2, 3, Mc Nichols Rd, Chetpet, Chennai, Tamil Nadu 600031","No.2, 2/1,2, 3, Mc Nichols Rd, Chetpet, Chennai, Tamil Nadu 600031",044 4227 1001,https://g.page/dr_mehtas_hospitals?share
5,Sri Sainath Hospital and Research Institute,Sri Sainath Hospital and Research Institute,"No 11, MC Nichols Road G7 4th Street police station, opposite to Chetpet, Chennai, Tamil Nadu 600031","No 11, MC Nichols Road G7 4th Street police station, opposite to Chetpet, Chennai, Tamil Nadu 600031",044 2836 3234,https://goo.gl/maps/jfEWKMuyiQADyTtJ7
5,Joseph Hospitals,Joseph Hospitals,"10A, Doctor Guruswamy Road, Chetpet, Chennai, Tamil Nadu 600031","10A, Doctor Guruswamy Road, Chetpet, Chennai, Tamil Nadu 600031",044 4296 7967,https://goo.gl/maps/EzJSzGDRNfaGS1Ym6
5,Padmini Nursing Home,Padmini Nursing Home,"9, Pachaiappas College Hostel Rd, Chetpet, Chennai, Tamil Nadu 600031","9, Pachaiappas College Hostel Rd, Chetpet, Chennai, Tamil Nadu 600031",044 2641 1702,https://goo.gl/maps/vz3nwQ2nHjqL5m4E6
